LNo | Status | Source Code | Tests
124 | COVERED |     @classmethod | test_7_1_positive_recursive_cleanup, test_p4_ws_plus_fuzz, test_8_3_positive_reverse_deletion_to_creation, test_3_1_positive_rename_and_edit, test_15_11_coverage_deep_mkdir, test_9_2_positive_continue_on_ambiguity, test_15_1_coverage_delta_large_copy, test_12_3_safety_dry_run_cleanup, test_8_1_positive_reverse_content, test_p9_sequence_plus_reverse, test_p12_negative_empty_binary_block, test_p7_strip_depth_permutation, test_15_6_coverage_empty_stream, test_6_2_positive_mkdir_on_demand, test_13_2_positive_filter_include_skip, test_7_4_positive_cleanup_ignore, test_12_1_safety_dry_run_edit, test_11_2_positive_binary_zlib_literal, test_6_3_negative_strict_offset_failure, test_12_2_safety_dry_run_rename, test_15_2_coverage_parser_similarity_edge, test_10_2_positive_sequential_creation, test_7_6_negative_read_only_file, test_6_1_negative_strip_out_of_bounds, test_6_5_positive_complex_rename_chain, test_6_6_negative_rename_source_missing, test_9_1_positive_continue_on_fail, test_7_3_negative_include_filter, test_8_4_positive_reverse_binary_literal, test_15_3_coverage_missing_hunks, test_5_1_positive_binary_literal, test_p6_continue_rename_collision, test_13_1_negative_path_strip_overrun, test_p2_reverse_creation_existing, test_p1_rename_plus_fuzz, test_15_5_coverage_cli_apply_shorthand, test_15_8_coverage_deep_text_creation, test_7_2_positive_exclude_filter, test_3_2_positive_identity_redirection, test_8_2_positive_reverse_rename, test_13_3_negative_ambiguity_exit_127, test_9_3_negative_continue_fatal_exception, test_16_2_delta_copy_bitmasks_full, test_6_4_negative_ambiguity_code_127, test_15_10_coverage_parser_empty_renames, test_14_2_negative_mangled_header, test_16_1_delta_decoder_loop_entry, test_16_5_delta_copy_brute_force, test_13_4_positive_continue_on_fail, test_14_1_negative_identity_conflict, test_15_4_coverage_io_failure, test_15_7_coverage_delta_bitwise_instructions, test_16_4_delta_decoder_copy_block_unlock, test_16_3_delta_index_error_break, test_14_3_positive_reverse_creation, test_p5_exclude_binary, test_p10_identity_plus_binary, test_11_3_negative_binary_delta_truncated, test_11_1_positive_binary_delta_insert, test_p8_include_plus_cleanup, test_15_12_coverage_cli_no_args, test_15_9_coverage_delta_all_bitmasks, test_4_2_positive_ignore_whitespace, test_8_5_positive_reverse_creation_to_deletion, test_16_5_delta_decoder_brute_force_copy, test_2_1_positive_exact_match, test_5_2_positive_binary_creation, test_7_5_negative_identity_conflict, test_7_7_negative_malformed_binary_header, test_p11_negative_invalid_base85_char, test_p3_global_reverse, test_10_1_positive_sequential_offsets, test_12_4_safety_dry_run_mkdir, test_4_1_positive_fuzz_factor
125 | COVERED |     def decode(cls, text_data: str) -> bytes: | test_7_1_positive_recursive_cleanup, test_p4_ws_plus_fuzz, test_8_3_positive_reverse_deletion_to_creation, test_3_1_positive_rename_and_edit, test_15_11_coverage_deep_mkdir, test_9_2_positive_continue_on_ambiguity, test_15_1_coverage_delta_large_copy, test_12_3_safety_dry_run_cleanup, test_8_1_positive_reverse_content, test_p9_sequence_plus_reverse, test_p12_negative_empty_binary_block, test_p7_strip_depth_permutation, test_15_6_coverage_empty_stream, test_6_2_positive_mkdir_on_demand, test_13_2_positive_filter_include_skip, test_7_4_positive_cleanup_ignore, test_12_1_safety_dry_run_edit, test_11_2_positive_binary_zlib_literal, test_6_3_negative_strict_offset_failure, test_12_2_safety_dry_run_rename, test_15_2_coverage_parser_similarity_edge, test_10_2_positive_sequential_creation, test_7_6_negative_read_only_file, test_6_1_negative_strip_out_of_bounds, test_6_5_positive_complex_rename_chain, test_6_6_negative_rename_source_missing, test_9_1_positive_continue_on_fail, test_7_3_negative_include_filter, test_8_4_positive_reverse_binary_literal, test_15_3_coverage_missing_hunks, test_5_1_positive_binary_literal, test_p6_continue_rename_collision, test_13_1_negative_path_strip_overrun, test_p2_reverse_creation_existing, test_p1_rename_plus_fuzz, test_15_5_coverage_cli_apply_shorthand, test_15_8_coverage_deep_text_creation, test_7_2_positive_exclude_filter, test_3_2_positive_identity_redirection, test_8_2_positive_reverse_rename, test_13_3_negative_ambiguity_exit_127, test_9_3_negative_continue_fatal_exception, test_16_2_delta_copy_bitmasks_full, test_6_4_negative_ambiguity_code_127, test_15_10_coverage_parser_empty_renames, test_14_2_negative_mangled_header, test_16_1_delta_decoder_loop_entry, test_16_5_delta_copy_brute_force, test_13_4_positive_continue_on_fail, test_14_1_negative_identity_conflict, test_15_4_coverage_io_failure, test_15_7_coverage_delta_bitwise_instructions, test_16_4_delta_decoder_copy_block_unlock, test_16_3_delta_index_error_break, test_14_3_positive_reverse_creation, test_p5_exclude_binary, test_p10_identity_plus_binary, test_11_3_negative_binary_delta_truncated, test_11_1_positive_binary_delta_insert, test_p8_include_plus_cleanup, test_15_12_coverage_cli_no_args, test_15_9_coverage_delta_all_bitmasks, test_4_2_positive_ignore_whitespace, test_8_5_positive_reverse_creation_to_deletion, test_16_5_delta_decoder_brute_force_copy, test_2_1_positive_exact_match, test_5_2_positive_binary_creation, test_7_5_negative_identity_conflict, test_7_7_negative_malformed_binary_header, test_p11_negative_invalid_base85_char, test_p3_global_reverse, test_10_1_positive_sequential_offsets, test_12_4_safety_dry_run_mkdir, test_4_1_positive_fuzz_factor
126 | COVERED |         raw = text_data.strip().encode('ascii') | test_15_1_coverage_delta_large_copy, test_11_2_positive_binary_zlib_literal, test_8_4_positive_reverse_binary_literal, test_5_1_positive_binary_literal, test_16_2_delta_copy_bitmasks_full, test_16_1_delta_decoder_loop_entry, test_16_5_delta_copy_brute_force, test_15_7_coverage_delta_bitwise_instructions, test_16_4_delta_decoder_copy_block_unlock, test_p5_exclude_binary, test_16_3_delta_index_error_break, test_p10_identity_plus_binary, test_11_3_negative_binary_delta_truncated, test_11_1_positive_binary_delta_insert, test_15_9_coverage_delta_all_bitmasks, test_16_5_delta_decoder_brute_force_copy, test_5_2_positive_binary_creation, test_7_7_negative_malformed_binary_header, test_p11_negative_invalid_base85_char
127 | COVERED |         if not raw: return b"" | test_15_1_coverage_delta_large_copy, test_11_2_positive_binary_zlib_literal, test_8_4_positive_reverse_binary_literal, test_5_1_positive_binary_literal, test_16_2_delta_copy_bitmasks_full, test_16_1_delta_decoder_loop_entry, test_16_5_delta_copy_brute_force, test_15_7_coverage_delta_bitwise_instructions, test_16_4_delta_decoder_copy_block_unlock, test_p5_exclude_binary, test_16_3_delta_index_error_break, test_p10_identity_plus_binary, test_11_3_negative_binary_delta_truncated, test_11_1_positive_binary_delta_insert, test_15_9_coverage_delta_all_bitmasks, test_16_5_delta_decoder_brute_force_copy, test_5_2_positive_binary_creation, test_7_7_negative_malformed_binary_header, test_p11_negative_invalid_base85_char
128 | COVERED |         try: | test_15_1_coverage_delta_large_copy, test_11_2_positive_binary_zlib_literal, test_8_4_positive_reverse_binary_literal, test_5_1_positive_binary_literal, test_16_2_delta_copy_bitmasks_full, test_16_1_delta_decoder_loop_entry, test_16_5_delta_copy_brute_force, test_15_7_coverage_delta_bitwise_instructions, test_16_4_delta_decoder_copy_block_unlock, test_p5_exclude_binary, test_16_3_delta_index_error_break, test_p10_identity_plus_binary, test_11_3_negative_binary_delta_truncated, test_11_1_positive_binary_delta_insert, test_15_9_coverage_delta_all_bitmasks, test_16_5_delta_decoder_brute_force_copy, test_5_2_positive_binary_creation, test_7_7_negative_malformed_binary_header, test_p11_negative_invalid_base85_char
130 | COVERED |             expected_len = cls._DECODE_MAP[raw[0]] | test_15_1_coverage_delta_large_copy, test_11_2_positive_binary_zlib_literal, test_8_4_positive_reverse_binary_literal, test_5_1_positive_binary_literal, test_16_2_delta_copy_bitmasks_full, test_16_1_delta_decoder_loop_entry, test_16_5_delta_copy_brute_force, test_15_7_coverage_delta_bitwise_instructions, test_16_4_delta_decoder_copy_block_unlock, test_p5_exclude_binary, test_16_3_delta_index_error_break, test_p10_identity_plus_binary, test_11_3_negative_binary_delta_truncated, test_11_1_positive_binary_delta_insert, test_15_9_coverage_delta_all_bitmasks, test_16_5_delta_decoder_brute_force_copy, test_5_2_positive_binary_creation, test_7_7_negative_malformed_binary_header, test_p11_negative_invalid_base85_char
131 | COVERED |             payload = raw[1:] | test_15_1_coverage_delta_large_copy, test_11_2_positive_binary_zlib_literal, test_8_4_positive_reverse_binary_literal, test_5_1_positive_binary_literal, test_16_2_delta_copy_bitmasks_full, test_16_1_delta_decoder_loop_entry, test_16_5_delta_copy_brute_force, test_15_7_coverage_delta_bitwise_instructions, test_16_4_delta_decoder_copy_block_unlock, test_p5_exclude_binary, test_16_3_delta_index_error_break, test_p10_identity_plus_binary, test_11_3_negative_binary_delta_truncated, test_11_1_positive_binary_delta_insert, test_15_9_coverage_delta_all_bitmasks, test_16_5_delta_decoder_brute_force_copy, test_5_2_positive_binary_creation, test_7_7_negative_malformed_binary_header, test_p11_negative_invalid_base85_char
132 | COVERED |             out = bytearray() | test_15_1_coverage_delta_large_copy, test_11_2_positive_binary_zlib_literal, test_8_4_positive_reverse_binary_literal, test_5_1_positive_binary_literal, test_16_2_delta_copy_bitmasks_full, test_16_1_delta_decoder_loop_entry, test_16_5_delta_copy_brute_force, test_15_7_coverage_delta_bitwise_instructions, test_16_4_delta_decoder_copy_block_unlock, test_p5_exclude_binary, test_16_3_delta_index_error_break, test_p10_identity_plus_binary, test_11_3_negative_binary_delta_truncated, test_11_1_positive_binary_delta_insert, test_15_9_coverage_delta_all_bitmasks, test_16_5_delta_decoder_brute_force_copy, test_5_2_positive_binary_creation, test_7_7_negative_malformed_binary_header, test_p11_negative_invalid_base85_char
133 | COVERED |             for i in range(0, len(payload), 5): | test_15_1_coverage_delta_large_copy, test_11_2_positive_binary_zlib_literal, test_8_4_positive_reverse_binary_literal, test_5_1_positive_binary_literal, test_16_2_delta_copy_bitmasks_full, test_16_1_delta_decoder_loop_entry, test_16_5_delta_copy_brute_force, test_15_7_coverage_delta_bitwise_instructions, test_16_4_delta_decoder_copy_block_unlock, test_p5_exclude_binary, test_16_3_delta_index_error_break, test_p10_identity_plus_binary, test_11_3_negative_binary_delta_truncated, test_11_1_positive_binary_delta_insert, test_15_9_coverage_delta_all_bitmasks, test_16_5_delta_decoder_brute_force_copy, test_5_2_positive_binary_creation, test_7_7_negative_malformed_binary_header, test_p11_negative_invalid_base85_char
134 | COVERED |                 chunk = payload[i:i+5] | test_15_1_coverage_delta_large_copy, test_11_2_positive_binary_zlib_literal, test_8_4_positive_reverse_binary_literal, test_5_1_positive_binary_literal, test_16_2_delta_copy_bitmasks_full, test_16_1_delta_decoder_loop_entry, test_16_5_delta_copy_brute_force, test_15_7_coverage_delta_bitwise_instructions, test_16_4_delta_decoder_copy_block_unlock, test_p5_exclude_binary, test_16_3_delta_index_error_break, test_p10_identity_plus_binary, test_11_3_negative_binary_delta_truncated, test_11_1_positive_binary_delta_insert, test_15_9_coverage_delta_all_bitmasks, test_16_5_delta_decoder_brute_force_copy, test_5_2_positive_binary_creation, test_7_7_negative_malformed_binary_header, test_p11_negative_invalid_base85_char
136 | COVERED |                 if len(chunk) < 5: | test_15_1_coverage_delta_large_copy, test_11_2_positive_binary_zlib_literal, test_8_4_positive_reverse_binary_literal, test_5_1_positive_binary_literal, test_16_2_delta_copy_bitmasks_full, test_16_1_delta_decoder_loop_entry, test_16_5_delta_copy_brute_force, test_15_7_coverage_delta_bitwise_instructions, test_16_4_delta_decoder_copy_block_unlock, test_p5_exclude_binary, test_16_3_delta_index_error_break, test_p10_identity_plus_binary, test_11_3_negative_binary_delta_truncated, test_11_1_positive_binary_delta_insert, test_15_9_coverage_delta_all_bitmasks, test_16_5_delta_decoder_brute_force_copy, test_5_2_positive_binary_creation, test_7_7_negative_malformed_binary_header, test_p11_negative_invalid_base85_char
137 | COVERED |                     chunk = chunk + bytes([cls.B85_CHARS_INT[0]]) * (5 - len(chunk)) | test_11_3_negative_binary_delta_truncated, test_11_1_positive_binary_delta_insert, test_15_9_coverage_delta_all_bitmasks, test_15_1_coverage_delta_large_copy, test_16_1_delta_decoder_loop_entry, test_7_7_negative_malformed_binary_header, test_p11_negative_invalid_base85_char, test_16_4_delta_decoder_copy_block_unlock, test_16_3_delta_index_error_break
138 | COVERED |                 acc = 0 | test_15_1_coverage_delta_large_copy, test_11_2_positive_binary_zlib_literal, test_8_4_positive_reverse_binary_literal, test_5_1_positive_binary_literal, test_16_2_delta_copy_bitmasks_full, test_16_1_delta_decoder_loop_entry, test_16_5_delta_copy_brute_force, test_15_7_coverage_delta_bitwise_instructions, test_16_4_delta_decoder_copy_block_unlock, test_p5_exclude_binary, test_16_3_delta_index_error_break, test_p10_identity_plus_binary, test_11_3_negative_binary_delta_truncated, test_11_1_positive_binary_delta_insert, test_15_9_coverage_delta_all_bitmasks, test_16_5_delta_decoder_brute_force_copy, test_5_2_positive_binary_creation, test_7_7_negative_malformed_binary_header, test_p11_negative_invalid_base85_char
139 | COVERED |                 for char_code in chunk: | test_15_1_coverage_delta_large_copy, test_11_2_positive_binary_zlib_literal, test_8_4_positive_reverse_binary_literal, test_5_1_positive_binary_literal, test_16_2_delta_copy_bitmasks_full, test_16_1_delta_decoder_loop_entry, test_16_5_delta_copy_brute_force, test_15_7_coverage_delta_bitwise_instructions, test_16_4_delta_decoder_copy_block_unlock, test_p5_exclude_binary, test_16_3_delta_index_error_break, test_p10_identity_plus_binary, test_11_3_negative_binary_delta_truncated, test_11_1_positive_binary_delta_insert, test_15_9_coverage_delta_all_bitmasks, test_16_5_delta_decoder_brute_force_copy, test_5_2_positive_binary_creation, test_7_7_negative_malformed_binary_header, test_p11_negative_invalid_base85_char
141 | COVERED |                     if char_code in cls._DECODE_MAP: | test_15_1_coverage_delta_large_copy, test_11_2_positive_binary_zlib_literal, test_8_4_positive_reverse_binary_literal, test_5_1_positive_binary_literal, test_16_2_delta_copy_bitmasks_full, test_16_1_delta_decoder_loop_entry, test_16_5_delta_copy_brute_force, test_15_7_coverage_delta_bitwise_instructions, test_16_4_delta_decoder_copy_block_unlock, test_p5_exclude_binary, test_16_3_delta_index_error_break, test_p10_identity_plus_binary, test_11_3_negative_binary_delta_truncated, test_11_1_positive_binary_delta_insert, test_15_9_coverage_delta_all_bitmasks, test_16_5_delta_decoder_brute_force_copy, test_5_2_positive_binary_creation, test_7_7_negative_malformed_binary_header, test_p11_negative_invalid_base85_char
142 | COVERED |                         acc = acc * 85 + cls._DECODE_MAP[char_code] | test_15_1_coverage_delta_large_copy, test_11_2_positive_binary_zlib_literal, test_8_4_positive_reverse_binary_literal, test_5_1_positive_binary_literal, test_16_2_delta_copy_bitmasks_full, test_16_1_delta_decoder_loop_entry, test_16_5_delta_copy_brute_force, test_15_7_coverage_delta_bitwise_instructions, test_16_4_delta_decoder_copy_block_unlock, test_p5_exclude_binary, test_16_3_delta_index_error_break, test_p10_identity_plus_binary, test_11_3_negative_binary_delta_truncated, test_11_1_positive_binary_delta_insert, test_15_9_coverage_delta_all_bitmasks, test_16_5_delta_decoder_brute_force_copy, test_5_2_positive_binary_creation, test_7_7_negative_malformed_binary_header, test_p11_negative_invalid_base85_char
144 | COVERED |                         raise ValueError(f"Invalid B85 byte: {char_code}") | test_7_7_negative_malformed_binary_header
145 | COVERED |                 out.extend(struct.pack(">I", acc)) | test_15_1_coverage_delta_large_copy, test_11_2_positive_binary_zlib_literal, test_8_4_positive_reverse_binary_literal, test_5_1_positive_binary_literal, test_16_2_delta_copy_bitmasks_full, test_16_1_delta_decoder_loop_entry, test_16_5_delta_copy_brute_force, test_15_7_coverage_delta_bitwise_instructions, test_16_4_delta_decoder_copy_block_unlock, test_p5_exclude_binary, test_16_3_delta_index_error_break, test_p10_identity_plus_binary, test_11_3_negative_binary_delta_truncated, test_11_1_positive_binary_delta_insert, test_15_9_coverage_delta_all_bitmasks, test_16_5_delta_decoder_brute_force_copy, test_5_2_positive_binary_creation, test_7_7_negative_malformed_binary_header, test_p11_negative_invalid_base85_char
147 | COVERED |             res = bytes(out[:expected_len]) | test_p10_identity_plus_binary, test_11_3_negative_binary_delta_truncated, test_11_1_positive_binary_delta_insert, test_15_9_coverage_delta_all_bitmasks, test_11_2_positive_binary_zlib_literal, test_p5_exclude_binary, test_15_1_coverage_delta_large_copy, test_16_1_delta_decoder_loop_entry, test_5_2_positive_binary_creation, test_15_7_coverage_delta_bitwise_instructions, test_p11_negative_invalid_base85_char, test_8_4_positive_reverse_binary_literal, test_5_1_positive_binary_literal, test_16_4_delta_decoder_copy_block_unlock, test_16_3_delta_index_error_break
150 | COVERED |             if len(res) != expected_len: | test_p10_identity_plus_binary, test_11_3_negative_binary_delta_truncated, test_11_1_positive_binary_delta_insert, test_15_9_coverage_delta_all_bitmasks, test_11_2_positive_binary_zlib_literal, test_p5_exclude_binary, test_15_1_coverage_delta_large_copy, test_16_1_delta_decoder_loop_entry, test_5_2_positive_binary_creation, test_15_7_coverage_delta_bitwise_instructions, test_p11_negative_invalid_base85_char, test_8_4_positive_reverse_binary_literal, test_5_1_positive_binary_literal, test_16_4_delta_decoder_copy_block_unlock, test_16_3_delta_index_error_break
151 | COVERED |                 logger.error(f"Codec Integrity Fail: Got {len(res)}, Expected {expected_len}") | test_15_1_coverage_delta_large_copy, test_15_9_coverage_delta_all_bitmasks, test_p11_negative_invalid_base85_char, test_p5_exclude_binary
152 | COVERED |                 return b"" | test_15_1_coverage_delta_large_copy, test_15_9_coverage_delta_all_bitmasks, test_p11_negative_invalid_base85_char, test_p5_exclude_binary
154 | COVERED |             logger.debug(f"Codec Output: {res.hex()} (Expected: {expected_len})") | test_p10_identity_plus_binary, test_11_3_negative_binary_delta_truncated, test_11_1_positive_binary_delta_insert, test_11_2_positive_binary_zlib_literal, test_16_1_delta_decoder_loop_entry, test_5_2_positive_binary_creation, test_15_7_coverage_delta_bitwise_instructions, test_8_4_positive_reverse_binary_literal, test_5_1_positive_binary_literal, test_16_4_delta_decoder_copy_block_unlock, test_16_3_delta_index_error_break
155 | COVERED |             return res | test_p10_identity_plus_binary, test_11_3_negative_binary_delta_truncated, test_11_1_positive_binary_delta_insert, test_11_2_positive_binary_zlib_literal, test_16_1_delta_decoder_loop_entry, test_5_2_positive_binary_creation, test_15_7_coverage_delta_bitwise_instructions, test_8_4_positive_reverse_binary_literal, test_5_1_positive_binary_literal, test_16_4_delta_decoder_copy_block_unlock, test_16_3_delta_index_error_break
156 | COVERED |         except Exception as e: | test_16_5_delta_decoder_brute_force_copy, test_16_5_delta_copy_brute_force, test_16_2_delta_copy_bitmasks_full, test_7_7_negative_malformed_binary_header
157 | COVERED |             logger.error(f"Codec Error: {e}") | test_16_5_delta_decoder_brute_force_copy, test_16_5_delta_copy_brute_force, test_16_2_delta_copy_bitmasks_full, test_7_7_negative_malformed_binary_header
158 | COVERED |             return b"" | test_16_5_delta_decoder_brute_force_copy, test_16_5_delta_copy_brute_force, test_16_2_delta_copy_bitmasks_full, test_7_7_negative_malformed_binary_header
160 | COVERED | class IdentityMap: | test_7_1_positive_recursive_cleanup, test_p4_ws_plus_fuzz, test_8_3_positive_reverse_deletion_to_creation, test_3_1_positive_rename_and_edit, test_15_11_coverage_deep_mkdir, test_9_2_positive_continue_on_ambiguity, test_15_1_coverage_delta_large_copy, test_12_3_safety_dry_run_cleanup, test_8_1_positive_reverse_content, test_p9_sequence_plus_reverse, test_p12_negative_empty_binary_block, test_p7_strip_depth_permutation, test_15_6_coverage_empty_stream, test_6_2_positive_mkdir_on_demand, test_13_2_positive_filter_include_skip, test_7_4_positive_cleanup_ignore, test_12_1_safety_dry_run_edit, test_11_2_positive_binary_zlib_literal, test_6_3_negative_strict_offset_failure, test_12_2_safety_dry_run_rename, test_15_2_coverage_parser_similarity_edge, test_10_2_positive_sequential_creation, test_7_6_negative_read_only_file, test_6_1_negative_strip_out_of_bounds, test_6_5_positive_complex_rename_chain, test_6_6_negative_rename_source_missing, test_9_1_positive_continue_on_fail, test_7_3_negative_include_filter, test_8_4_positive_reverse_binary_literal, test_15_3_coverage_missing_hunks, test_5_1_positive_binary_literal, test_p6_continue_rename_collision, test_13_1_negative_path_strip_overrun, test_p2_reverse_creation_existing, test_p1_rename_plus_fuzz, test_15_5_coverage_cli_apply_shorthand, test_15_8_coverage_deep_text_creation, test_7_2_positive_exclude_filter, test_3_2_positive_identity_redirection, test_8_2_positive_reverse_rename, test_13_3_negative_ambiguity_exit_127, test_9_3_negative_continue_fatal_exception, test_16_2_delta_copy_bitmasks_full, test_6_4_negative_ambiguity_code_127, test_15_10_coverage_parser_empty_renames, test_14_2_negative_mangled_header, test_16_1_delta_decoder_loop_entry, test_16_5_delta_copy_brute_force, test_13_4_positive_continue_on_fail, test_14_1_negative_identity_conflict, test_15_4_coverage_io_failure, test_15_7_coverage_delta_bitwise_instructions, test_16_4_delta_decoder_copy_block_unlock, test_16_3_delta_index_error_break, test_14_3_positive_reverse_creation, test_p5_exclude_binary, test_p10_identity_plus_binary, test_11_3_negative_binary_delta_truncated, test_11_1_positive_binary_delta_insert, test_p8_include_plus_cleanup, test_15_12_coverage_cli_no_args, test_15_9_coverage_delta_all_bitmasks, test_4_2_positive_ignore_whitespace, test_8_5_positive_reverse_creation_to_deletion, test_16_5_delta_decoder_brute_force_copy, test_2_1_positive_exact_match, test_5_2_positive_binary_creation, test_7_5_negative_identity_conflict, test_7_7_negative_malformed_binary_header, test_p11_negative_invalid_base85_char, test_p3_global_reverse, test_10_1_positive_sequential_offsets, test_12_4_safety_dry_run_mkdir, test_4_1_positive_fuzz_factor
161 | COVERED |     def __init__(self): | test_7_1_positive_recursive_cleanup, test_p4_ws_plus_fuzz, test_8_3_positive_reverse_deletion_to_creation, test_3_1_positive_rename_and_edit, test_15_11_coverage_deep_mkdir, test_9_2_positive_continue_on_ambiguity, test_15_1_coverage_delta_large_copy, test_12_3_safety_dry_run_cleanup, test_8_1_positive_reverse_content, test_p9_sequence_plus_reverse, test_p12_negative_empty_binary_block, test_p7_strip_depth_permutation, test_15_6_coverage_empty_stream, test_6_2_positive_mkdir_on_demand, test_13_2_positive_filter_include_skip, test_7_4_positive_cleanup_ignore, test_12_1_safety_dry_run_edit, test_11_2_positive_binary_zlib_literal, test_6_3_negative_strict_offset_failure, test_12_2_safety_dry_run_rename, test_15_2_coverage_parser_similarity_edge, test_10_2_positive_sequential_creation, test_7_6_negative_read_only_file, test_6_1_negative_strip_out_of_bounds, test_6_5_positive_complex_rename_chain, test_6_6_negative_rename_source_missing, test_9_1_positive_continue_on_fail, test_7_3_negative_include_filter, test_8_4_positive_reverse_binary_literal, test_15_3_coverage_missing_hunks, test_5_1_positive_binary_literal, test_p6_continue_rename_collision, test_13_1_negative_path_strip_overrun, test_p2_reverse_creation_existing, test_p1_rename_plus_fuzz, test_15_5_coverage_cli_apply_shorthand, test_15_8_coverage_deep_text_creation, test_7_2_positive_exclude_filter, test_3_2_positive_identity_redirection, test_8_2_positive_reverse_rename, test_13_3_negative_ambiguity_exit_127, test_9_3_negative_continue_fatal_exception, test_16_2_delta_copy_bitmasks_full, test_6_4_negative_ambiguity_code_127, test_15_10_coverage_parser_empty_renames, test_14_2_negative_mangled_header, test_16_1_delta_decoder_loop_entry, test_16_5_delta_copy_brute_force, test_13_4_positive_continue_on_fail, test_14_1_negative_identity_conflict, test_15_4_coverage_io_failure, test_15_7_coverage_delta_bitwise_instructions, test_16_4_delta_decoder_copy_block_unlock, test_16_3_delta_index_error_break, test_14_3_positive_reverse_creation, test_p5_exclude_binary, test_p10_identity_plus_binary, test_11_3_negative_binary_delta_truncated, test_11_1_positive_binary_delta_insert, test_p8_include_plus_cleanup, test_15_12_coverage_cli_no_args, test_15_9_coverage_delta_all_bitmasks, test_4_2_positive_ignore_whitespace, test_8_5_positive_reverse_creation_to_deletion, test_16_5_delta_decoder_brute_force_copy, test_2_1_positive_exact_match, test_5_2_positive_binary_creation, test_7_5_negative_identity_conflict, test_7_7_negative_malformed_binary_header, test_p11_negative_invalid_base85_char, test_p3_global_reverse, test_10_1_positive_sequential_offsets, test_12_4_safety_dry_run_mkdir, test_4_1_positive_fuzz_factor
162 | COVERED |         self._map: Dict[str, str] = {} | test_7_1_positive_recursive_cleanup, test_p4_ws_plus_fuzz, test_8_3_positive_reverse_deletion_to_creation, test_3_1_positive_rename_and_edit, test_15_11_coverage_deep_mkdir, test_9_2_positive_continue_on_ambiguity, test_15_1_coverage_delta_large_copy, test_12_3_safety_dry_run_cleanup, test_8_1_positive_reverse_content, test_p9_sequence_plus_reverse, test_p12_negative_empty_binary_block, test_p7_strip_depth_permutation, test_15_6_coverage_empty_stream, test_6_2_positive_mkdir_on_demand, test_13_2_positive_filter_include_skip, test_7_4_positive_cleanup_ignore, test_12_1_safety_dry_run_edit, test_11_2_positive_binary_zlib_literal, test_6_3_negative_strict_offset_failure, test_12_2_safety_dry_run_rename, test_15_2_coverage_parser_similarity_edge, test_10_2_positive_sequential_creation, test_7_6_negative_read_only_file, test_6_1_negative_strip_out_of_bounds, test_6_5_positive_complex_rename_chain, test_6_6_negative_rename_source_missing, test_9_1_positive_continue_on_fail, test_7_3_negative_include_filter, test_8_4_positive_reverse_binary_literal, test_15_3_coverage_missing_hunks, test_5_1_positive_binary_literal, test_p6_continue_rename_collision, test_13_1_negative_path_strip_overrun, test_p2_reverse_creation_existing, test_p1_rename_plus_fuzz, test_15_5_coverage_cli_apply_shorthand, test_15_8_coverage_deep_text_creation, test_7_2_positive_exclude_filter, test_3_2_positive_identity_redirection, test_8_2_positive_reverse_rename, test_13_3_negative_ambiguity_exit_127, test_9_3_negative_continue_fatal_exception, test_16_2_delta_copy_bitmasks_full, test_6_4_negative_ambiguity_code_127, test_15_10_coverage_parser_empty_renames, test_14_2_negative_mangled_header, test_16_1_delta_decoder_loop_entry, test_16_5_delta_copy_brute_force, test_13_4_positive_continue_on_fail, test_14_1_negative_identity_conflict, test_15_4_coverage_io_failure, test_15_7_coverage_delta_bitwise_instructions, test_16_4_delta_decoder_copy_block_unlock, test_16_3_delta_index_error_break, test_14_3_positive_reverse_creation, test_p5_exclude_binary, test_p10_identity_plus_binary, test_11_3_negative_binary_delta_truncated, test_11_1_positive_binary_delta_insert, test_p8_include_plus_cleanup, test_8_5_positive_reverse_creation_to_deletion, test_15_9_coverage_delta_all_bitmasks, test_4_2_positive_ignore_whitespace, test_16_5_delta_decoder_brute_force_copy, test_2_1_positive_exact_match, test_5_2_positive_binary_creation, test_7_5_negative_identity_conflict, test_7_7_negative_malformed_binary_header, test_p11_negative_invalid_base85_char, test_p3_global_reverse, test_10_1_positive_sequential_offsets, test_12_4_safety_dry_run_mkdir, test_4_1_positive_fuzz_factor
